,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8949.0,3412.0,4488.0,1049.0,1236.0,3471.0,3902.0,340.0,1505.0,3028.0,3247.0,314.0,855.0,852.0,3250.0,315.0,1505.0,6.0,3021.0,1424.0,114.0,2938.0,2298.0,829.0,1339.0,7.0,2261.0,810.0,466.0,1400.0,2846.0,1131.0,7.0,28.0
Seg_Pct,1.0,0.38127165046373895,0.5015085484411667,0.11721980109509443,0.13811599061347637,0.38786456587328194,0.43602637166163816,0.037993071851603534,0.1681752151078333,0.33836182813722204,0.36283383618281373,0.03508771929824561,0.09554140127388536,0.09520616828695944,0.3631690691697396,0.03519946362722092,0.1681752151078333,0.0006704659738518271,0.3375796178343949,0.15912392446083362,0.012738853503184714,0.32830483852944464,0.25678846798524974,0.09263604872052743,0.14962565649793272,0.0007822103028271315,0.2526539278131635,0.09051290646999664,0.0520728573024919,0.1564420605654263,0.3180243602637166,0.1263828360710694,0.0007822103028271315,0.003128841211308526
Installment_Purchases,0.25254218348418817,0.07473622508792498,0.4425133689839572,0.01811248808388942,0.08737864077669903,0.4171708441371363,0.17811378780112763,0.026470588235294117,0.3840531561461794,0.11723910171730516,0.38250692947336,0.028662420382165606,0.08888888888888889,0.0892018779342723,0.3821538461538462,0.02857142857142857,0.38272425249169434,0.6666666666666666,0.11684872558755378,0.3539325842696629,0.043859649122807015,0.0987066031313819,0.6031331592689295,0.0856453558504222,0.0,0.5714285714285714,0.6116762494471473,0.08641975308641975,0.017167381974248927,0.35928571428571426,0.10189739985945186,0.0,0.5714285714285714,0.07142857142857142
None_Of_the_Purchases,0.22807017543859648,0.5600820633059789,0.028966131907308377,0.0,0.48624595469255666,0.0,0.3690415171706817,0.0,0.18073089700996678,0.46136063408190225,0.0,0.0,0.43508771929824563,0.43427230046948356,0.0,0.0,0.18006644518272424,0.3333333333333333,0.4627606752730884,0.19101123595505617,0.0,0.47515316541865216,0.0,0.44632086851628466,0.0,0.42857142857142855,0.0,0.43950617283950616,0.0,0.19285714285714287,0.4961349262122277,0.0,0.42857142857142855,0.0
One_Of_Purchase,0.20940887249972065,0.25586166471277844,0.20588235294117646,0.07340324118207817,0.2087378640776699,0.07836358398156151,0.3370066632496156,0.08529411764705883,0.3142857142857143,0.3035006605019815,0.0850015398829689,0.08280254777070063,0.21052631578947367,0.2112676056338028,0.08584615384615385,0.08253968253968254,0.31561461794019935,0.0,0.30254882489241974,0.3300561797752809,0.07017543859649122,0.3056501021102791,0.0,0.21109770808202655,0.24122479462285287,0.0,0.0,0.2111111111111111,0.03862660944206009,0.32571428571428573,0.2905832747716093,0.3536693191865606,0.0,0.07142857142857142
BALANCE,1564.647592719525,2483.8400970319453,661.7463684547674,2437.7990415147747,3756.4589699465982,1011.9255190556037,1204.627999762944,3371.1649666941144,131.75552045514942,1926.4260371406926,1071.9118645315673,3412.7271928312093,3998.1602875052654,4001.305730593898,1072.7790320243075,3402.7028288190468,132.1190372099667,2.0959228333333333,1931.706008965911,130.23966141783697,4099.341051061404,1936.2204000330214,938.9601942127924,4004.759290735826,1630.2771166527234,1.796678714285714,895.6867419190613,3998.406157580247,3021.5401825450604,128.68436744642844,1959.6500545439267,1247.9893648992015,1.796678714285714,5761.648319749999
BALANCE_FREQUENCY,0.877350131523082,0.9431107713950758,0.8023046129679131,0.9845274280266915,0.964089386731391,0.9313342088735206,0.7923481988723735,0.986435688235294,0.42024330631229373,0.9758608626155867,0.965942633507851,0.9859494713375795,0.9567597590643265,0.9569009319248817,0.9660579870769207,0.9859940761904761,0.42240529235880536,0.2935605,0.9759578990400518,0.40982365800561893,0.9799840614035086,0.9758497705922383,0.9518427767623988,0.9565459155609157,0.9759508461538448,0.2775972857142857,0.9511306581158749,0.9562516851851841,0.9880093905579392,0.4043363971428578,0.9752586152494717,0.9680619425287338,0.2775972857142857,0.9801948214285714
PURCHASES,1003.3169359705028,224.91180832356443,723.4492981283413,4732.548827454716,437.51690129449867,1281.1170095073462,287.4517093798055,8439.760764705883,351.2121395348841,257.3712219286665,1368.8406282722517,8782.263726114654,547.99134502924,549.5876995305167,1368.0857323076928,8764.755047619054,350.3499933554821,496.21,255.87688513737248,331.5027738764046,13789.434385964913,242.3435091899259,921.1890252393357,519.1989143546444,2742.596728902167,425.3228571428571,902.6940424590865,518.6457901234569,5819.674184549355,323.3443714285715,210.00224174279757,1798.456949602121,425.3228571428571,25651.435714285708
ONEOFF_PURCHASES,592.5035724661986,167.86027842907427,331.02729946524,3092.3972163965686,285.9034870550161,616.7919821377109,226.53256535110248,5659.184470588239,214.8186046511628,206.38256274768887,677.7209732060356,5895.264681528665,353.6993684210524,354.7982159624411,677.9903661538452,5881.118031746035,215.4968704318937,0.0,205.12503475670377,215.8814255617978,8956.170964912277,199.29883594281884,174.56715404699776,331.8251387213507,2025.479828230023,0.0,174.46984520123868,332.0485185185183,3612.181094420603,207.6056285714286,167.31512649332427,1478.351635720602,0.0,18455.715357142857
INSTALLMENTS_PURCHASES,411.1135791708568,57.202288980070314,392.77231951871596,1640.7235843660626,151.6956715210356,664.6688130221819,61.12203485392105,2782.341000000001,136.59074418604655,51.27287978863939,691.3951370495819,2888.909872611467,194.3325847953215,194.83023474178393,690.3705938461515,2885.5417777777798,135.05033222591365,496.21,51.03672955974845,115.82977528089891,4833.263421052633,43.337600408441105,747.2722149695375,187.41565741857656,717.1169006721435,425.3228571428571,728.6198142414851,186.64013580246905,2208.780643776825,115.95074285714294,42.87217146872802,320.4005835543769,425.3228571428571,7195.720357142855
